,FID,LOC_ID,SITECODE,UTM_E,UTM_N,LATITUDE,LONGITUDE,ALT_SITECODE,PI,LOC_TYPE,GPS_ELEV,DATE_COLLECTED,PROJECT_DESCRIPTION
1,213,214,75-2C,449794.874,4434103.131,40.0556798,-105.5886362,75-2C,Marilyn Walker,manipulative plot,3530.812,,ITEX exp
1,214,215,75-2E,449795.737,4434101.357,40.0556639,-105.5886259,75-2E,Marilyn Walker,manipulative plot,3531.18,,ITEX exp
1,215,216,75-1C,449790.879,4434086.056,40.0555258,-105.5886817,75-1C,Marilyn Walker,manipulative plot,3532.059,,ITEX exp
1,216,217,75-1E,449791.556,4434084.424,40.0555111,-105.5886736,75-1E,Marilyn Walker,manipulative plot,3532.471,,ITEX exp
1,217,218,EP75-1C,449787.335,4434074.681,40.0554231,-105.5887224,EP75-1C,Marilyn Walker,manipulative plot,3531.848,,ITEX exp
1,218,219,PTQUAD09,449763.51,4433983.881,40.0546036,-105.5889946,Saddle Pt Quad 09,Marilyn Walker,observational plot,3527.382,,Point quadrat measurements at the saddle are made yearly
1,219,220,PTQUAD19,449779.763,4434034.114,40.0550571,-105.588808,Saddle Pt Quad 19,Marilyn Walker,observational plot,3531.503,,Point quadrat measurements at the saddle are made yearly
1,220,221,PTQUAD29,449791.142,4434079.66,40.0554681,-105.5886781,Saddle Pt Quad 29,Marilyn Walker,observational plot,3532.618,,Point quadrat measurements at the saddle are made yearly
1,221,222,PTQUAD39,449804.699,4434131.505,40.055936,-105.5885232,Saddle Pt Quad 39,Marilyn Walker,observational plot,3530.201,,Point quadrat measurements at the saddle are made yearly
1,222,223,PTQUAD49,449817.134,4434179.529,40.0563694,-105.5883811,Saddle Pt Quad 49,Marilyn Walker,observational plot,3526.632,,Point quadrat measurements at the saddle are made yearly
1,223,224,PTQUAD59,449831.067,4434225.711,40.0567863,-105.5882213,Saddle Pt Quad 59,Marilyn Walker,observational plot,3524.259,,Point quadrat measurements at the saddle are made yearly
1,224,225,PTQUAD69,449843.307,4434277.544,40.057254,-105.5880819,Saddle Pt Quad 69,Marilyn Walker,observational plot,3518.987,,Point quadrat measurements at the saddle are made yearly
1,225,226,PTQUAD79,449856.599,4434324.87,40.0576812,-105.5879297,Saddle Pt Quad 79,Marilyn Walker,observational plot,3512.421,,Point quadrat measurements at the saddle are made yearly
1,226,227,PTQUAD78,449810.279,4434332.9,40.0577508,-105.5884734,Saddle Pt Quad 78,Marilyn Walker,observational plot,3512.625,,Point quadrat measurements at the saddle are made yearly
1,227,228,PTQUAD68,449794.383,4434289.291,40.057357,-105.5886564,Saddle Pt Quad 68,Marilyn Walker,observational plot,3516.923,,Point quadrat measurements at the saddle are made yearly
1,228,229,PTQUAD58,449780.962,4434241.395,40.0569246,-105.58881,Saddle Pt Quad 58,Marilyn Walker,observational plot,3521.654,,Point quadrat measurements at the saddle are made yearly
1,229,230,PTQUAD48,449769.916,4434193.895,40.0564961,-105.5889358,Saddle Pt Quad 48,Marilyn Walker,observational plot,3526.415,,Point quadrat measurements at the saddle are made yearly
1,230,231,PTQUAD38,449753.522,4434143.463,40.0560407,-105.5891241,Saddle Pt Quad 38,Marilyn Walker,observational plot,3529.412,,Point quadrat measurements at the saddle are made yearly
1,231,232,PTQUAD28,449743.862,4434096.679,40.0556187,-105.5892337,Saddle Pt Quad 28,Marilyn Walker,observational plot,3530.133,,Point quadrat measurements at the saddle are made yearly
